"Traeplanke: Wavelength (nm)","Traeplanke: Intensity (rel)","Sol direkte: Wavelength (nm)","Sol direkte: Intensity (rel)","Blaa himmel: Wavelength (nm)","Blaa himmel: Intensity (rel)"
535,0.0482223332223,535,0.94033966034,535,0.0442968142968
536,0.0474938024938,536,0.93932012432,536,0.0434217634218
537,0.0466798016798,537,0.924729159729,537,0.0427054427054
538,0.0471193621194,538,0.935559440559,538,0.0423961223961
539,0.0458658008658,539,0.916652236652,539,0.0409451659452
540,0.0447668997669,540,0.899185814186,540,0.03995004995
541,0.0456053206053,541,0.905262330262,541,0.0402308802309
542,0.0465373515374,542,0.922063307063,542,0.0403448403448
543,0.0463908313908,543,0.915461760462,543,0.0404323454323
544,0.0468507418507,544,0.926711251711,544,0.0406582306582
545,0.0466065416065,545,0.920166685167,545,0.0397628297628
546,0.0467734117734,546,0.925880970881,546,0.0399052799053
547,0.0461873311873,547,0.920996965997,547,0.0392215192215
548,0.046519036519,548,0.920571650572,548,0.0390098790099
549,0.0467327117327,549,0.921143486143,549,0.0389366189366
550,0.0464315314315,550,0.916808931809,550,0.0386720686721
551,0.0463745513746,551,0.912502867503,551,0.0383953083953
552,0.0459512709513,552,0.909820734821,552,0.0377522477522
553,0.0454425204425,553,0.898579383579,553,0.0370277870278
554,0.0460082510083,554,0.907447922448,554,0.0373778073778
555,0.045991970992,555,0.910614385614,555,0.0371783771784
556,0.0450518000518,556,0.893756428756,556,0.0359695859696
557,0.0446447996448,557,0.882616827617,557,0.0354933954934
558,0.0438674288674,558,0.877321752322,558,0.0348544048544
559,0.0433505383505,559,0.863951788952,559,0.0342235542236
560,0.0441726791727,560,0.871090576091,560,0.0343741443741
561,0.0443883893884,561,0.870712065712,561,0.0340709290709
562,0.0438226588227,562,0.860471935472,562,0.0336944536945
563,0.0440546490546,563,0.859633514634,563,0.0333281533282
564,0.0441767491767,564,0.85897010397,564,0.0331409331409
565,0.0430697080697,565,0.846019351019,565,0.0319524919525
566,0.0426301476301,566,0.837207792208,566,0.0314763014763
567,0.043085988086,567,0.851139416139,567,0.0320135420135
568,0.0425324675325,568,0.845608280608,568,0.0308820808821
569,0.0420562770563,569,0.834855329855,569,0.030527990528
570,0.0415434565435,570,0.82533966034,570,0.0296895696896
571,0.0413908313908,571,0.819045399045,571,0.0291747141747
572,0.042560957561,572,0.838274133274,572,0.0297668997669
573,0.0426423576424,573,0.838917193917,573,0.0297302697303
574,0.0425202575203,574,0.831615606616,574,0.0292296592297
575,0.0415638065638,575,0.813911088911,575,0.0282894882895
576,0.0419158619159,576,0.814942834943,576,0.0284604284604
577,0.042153957154,577,0.820195175195,577,0.0283423983424
578,0.0411364561365,578,0.811574906575,578,0.0277848077848
579,0.0415719465719,579,0.807993302993,579,0.0279394679395
580,0.0419545269545,580,0.810248085248,580,0.0283016983017
581,0.0422089022089,581,0.802018537019,581,0.0283078033078
582,0.0426627076627,582,0.805592000592,582,0.0288145188145
583,0.0425813075813,583,0.800736485736,583,0.0284889184889
584,0.042735967736,584,0.797818292818,584,0.0286883486883
585,0.0415719465719,585,0.777525252525,585,0.0276016576017
586,0.0411710511711,586,0.767958707959,586,0.02726995227
587,0.0413480963481,587,0.770064935065,587,0.0269708069708
588,0.0396346246346,588,0.741188256188,588,0.025118955119
589,0.0369891219891,589,0.691074296074,589,0.0227420727421
590,0.0386741036741,590,0.70676009176,590,0.0236415436415
591,0.0386008436008,591,0.713856143856,591,0.0236069486069
592,0.0394270544271,592,0.71643042143,592,0.0239060939061
593,0.0389101639102,593,0.712506937507,593,0.0242072742073
594,0.0386171236171,594,0.701745846746,594,0.0232508232508
595,0.0381165131165,595,0.691053946054,595,0.0231205831206
596,0.0387555037555,596,0.698799163799,596,0.0233729233729
597,0.0382772782773,597,0.692165057165,597,0.0230636030636
598,0.0380554630555,598,0.6892997743,598,0.0230758130758
599,0.0382426832427,599,0.6849000999,599,0.0228641728642
600,0.0377054427054,600,0.67956025456,600,0.0229333629334
601,0.0372903022903,601,0.670537055537,601,0.0224978724979
602,0.0364885114885,602,0.659039294039,602,0.0223676323676
603,0.0370949420949,603,0.662856957857,603,0.0223594923595
604,0.0374327524328,604,0.662738927739,604,0.0224368224368
605,0.0370338920339,605,0.654810559811,605,0.0222292522293
606,0.036862951863,606,0.652637177637,606,0.0218914418914
607,0.0367001517002,607,0.647146742147,607,0.021573981574
608,0.036225996226,608,0.636981906982,608,0.0208719058719
609,0.0357477707478,609,0.629491064491,609,0.0208006808007
610,0.0354303104303,610,0.619263144263,610,0.0203814703815
611,0.0355524105524,611,0.619763754764,611,0.0204262404262
612,0.0350965700966,612,0.61126965627,612,0.020177970178
613,0.0345186295186,613,0.597464202464,613,0.0194657194657
614,0.0346020646021,614,0.589265179265,614,0.0196325896326
615,0.0340058090058,615,0.58212028712,615,0.0192459392459
616,0.0331999481999,616,0.567651422651,616,0.0185784585785
617,0.0334563584564,617,0.56306045806,617,0.0186232286232
618,0.033781958782,618,0.566239131239,618,0.0187046287046
619,0.0335418285418,619,0.561485366485,619,0.0186272986273
620,0.0338328338328,620,0.562256632257,620,0.0185764235764
621,0.0334197284197,621,0.553963998964,621,0.0180330780331
622,0.0328662078662,622,0.546353091353,622,0.0176138676139
623,0.0325894475894,623,0.539031154031,623,0.0174307174307
624,0.0322801272801,624,0.53142024642,624,0.0171132571133
625,0.0316004366004,625,0.519702704703,625,0.0165027565028
626,0.0322557072557,626,0.524460539461,626,0.0167550967551
627,0.0312992562993,627,0.515174825175,627,0.01611000111
628,0.0307986457986,628,0.504208199208,628,0.0154079254079
629,0.0306317756318,629,0.502344137344,629,0.0153672253672
630,0.0308678358678,630,0.49934047434,630,0.0154404854405
631,0.0301881451881,631,0.497830502831,631,0.0154364154364
632,0.0306602656603,632,0.49711011211,632,0.0155056055056
633,0.0310672660673,633,0.500337625338,633,0.0154567654568
634,0.0306277056277,634,0.493947718948,634,0.0155361305361
635,0.0305829355829,635,0.493552928553,635,0.0152451252451
636,0.0306236356236,636,0.489385244385,636,0.015468975469
637,0.0310387760388,637,0.491599326599,637,0.0153997853998
638,0.0308027158027,638,0.488367743368,638,0.0154567654568
639,0.0303346653347,639,0.479975394975,639,0.0152898952899
640,0.0302003552004,640,0.474025049025,640,0.015123025123
